PROVINCE,SECTOR,YEAR_MONTH,YEAR,TRADE_PARTNER,EXPORT,IMPORT,NET_TRADE
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-03-01,2018,United States,710886000.0,685527000.0,25359000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-04-01,2018,United States,691180000.0,882345000.0,-191165000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-05-01,2018,United States,660934000.0,898956000.0,-238022000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-06-01,2018,United States,548296000.0,822588000.0,-274292000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-07-01,2018,United States,625370000.0,650676000.0,-25306000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-08-01,2018,United States,691325000.0,719620000.0,-28295000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-09-01,2018,United States,648978000.0,794920000.0,-145942000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-10-01,2018,United States,667708000.0,664981000.0,2727000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-11-01,2018,United States,581665000.0,523894000.0,57771000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2018-12-01,2018,United States,673637000.0,428608000.0,245029000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-01-01,2019,United States,660767000.0,463988000.0,196779000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-02-01,2019,United States,493747000.0,600813000.0,-107066000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-03-01,2019,United States,677662000.0,678512000.0,-850000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-04-01,2019,United States,644068000.0,593522000.0,50546000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-05-01,2019,United States,683670000.0,591430000.0,92240000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-06-01,2019,United States,606739000.0,491434000.0,115305000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-07-01,2019,United States,573114000.0,488544000.0,84570000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-08-01,2019,United States,575497000.0,539368000.0,36129000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-09-01,2019,United States,476342000.0,636895000.0,-160553000.0
