TRADE_PARTNER,YEAR_MONTH,YEAR,PROVINCE,SECTOR,EXPORT,IMPORT,NET_TRADE
United States,2014-01-01,2014,Yukon,Special transactions trade,4000.0,0.0,4000.0
United States,2014-02-01,2014,Alberta,Aircraft and transportation,31903000.0,47649000.0,-15746000.0
United States,2014-02-01,2014,Alberta,Basic products,560445000.0,564398000.0,-3953000.0
United States,2014-02-01,2014,Alberta,Consumer goods,117294000.0,128421000.0,-11127000.0
United States,2014-02-01,2014,Alberta,Electronics related parts,41587000.0,113213000.0,-71626000.0
United States,2014-02-01,2014,Alberta,Energy products,7140844000.0,42406000.0,7098438000.0
United States,2014-02-01,2014,Alberta,Farm and fishing products,182268000.0,65458000.0,116810000.0
United States,2014-02-01,2014,Alberta,Forestry products,168036000.0,98987000.0,69049000.0
United States,2014-02-01,2014,Alberta,Industrial machinery parts,146357000.0,252911000.0,-106554000.0
United States,2014-02-01,2014,Alberta,Metal products,56242000.0,102414000.0,-46172000.0
United States,2014-02-01,2014,Alberta,Metal ores,10065000.0,9299000.0,766000.0
United States,2014-02-01,2014,Alberta,Motor vehicles and parts,11812000.0,89874000.0,-78062000.0
United States,2014-02-01,2014,Alberta,Special transactions trade,26734000.0,19662000.0,7072000.0
United States,2014-02-01,2014,British Columbia,Aircraft and transportation,19163000.0,36613000.0,-17450000.0
United States,2014-02-01,2014,British Columbia,Basic products,51324000.0,101916000.0,-50592000.0
United States,2014-02-01,2014,British Columbia,Consumer goods,115458000.0,283787000.0,-168329000.0
United States,2014-02-01,2014,British Columbia,Electronics related parts,66148000.0,81876000.0,-15728000.0
United States,2014-02-01,2014,British Columbia,Energy products,398351000.0,221340000.0,177011000.0
United States,2014-02-01,2014,British Columbia,Farm and fishing products,57915000.0,125020000.0,-67105000.0
United States,2014-02-01,2014,British Columbia,Forestry products,393097000.0,158445000.0,234652000.0
United States,2014-02-01,2014,British Columbia,Industrial machinery parts,84065000.0,160676000.0,-76611000.0
United States,2014-02-01,2014,British Columbia,Metal products,104119000.0,111418000.0,-7299000.0
United States,2014-02-01,2014,British Columbia,Metal ores,16936000.0,33555000.0,-16619000.0
United States,2014-02-01,2014,British Columbia,Motor vehicles and parts,24268000.0,135384000.0,-111116000.0
United States,2014-02-01,2014,British Columbia,Special transactions trade,21100000.0,23762000.0,-2662000.0
United States,2014-02-01,2014,Manitoba,Aircraft and transportation,48888000.0,56973000.0,-8085000.0
United States,2014-02-01,2014,Manitoba,Basic products,46957000.0,188950000.0,-141993000.0
United States,2014-02-01,2014,Manitoba,Consumer goods,83195000.0,140790000.0,-57595000.0
United States,2014-02-01,2014,Manitoba,Electronics related parts,17181000.0,95761000.0,-78580000.0
United States,2014-02-01,2014,Manitoba,Energy products,62374000.0,67188000.0,-4814000.0
United States,2014-02-01,2014,Manitoba,Farm and fishing products,177605000.0,43401000.0,134204000.0
United States,2014-02-01,2014,Manitoba,Forestry products,31124000.0,73360000.0,-42236000.0
United States,2014-02-01,2014,Manitoba,Industrial machinery parts,84760000.0,305461000.0,-220701000.0
United States,2014-02-01,2014,Manitoba,Metal products,37690000.0,93697000.0,-56007000.0
United States,2014-02-01,2014,Manitoba,Metal ores,3196000.0,10030000.0,-6834000.0
United States,2014-02-01,2014,Manitoba,Motor vehicles and parts,53826000.0,137322000.0,-83496000.0
United States,2014-02-01,2014,Manitoba,Special transactions trade,17315000.0,11891000.0,5424000.0
United States,2014-02-01,2014,New Brunswick,Aircraft and transportation,1834000.0,5031000.0,-3197000.0
United States,2014-02-01,2014,New Brunswick,Basic products,484212000.0,43039000.0,441173000.0
United States,2014-02-01,2014,New Brunswick,Consumer goods,38181000.0,23032000.0,15149000.0
United States,2014-02-01,2014,New Brunswick,Electronics related parts,2946000.0,7714000.0,-4768000.0
United States,2014-02-01,2014,New Brunswick,Energy products,416352000.0,539731000.0,-123379000.0
United States,2014-02-01,2014,New Brunswick,Farm and fishing products,30180000.0,13573000.0,16607000.0
United States,2014-02-01,2014,New Brunswick,Forestry products,92411000.0,26516000.0,65895000.0
United States,2014-02-01,2014,New Brunswick,Industrial machinery parts,6663000.0,23554000.0,-16891000.0
United States,2014-02-01,2014,New Brunswick,Metal products,11401000.0,13973000.0,-2572000.0
United States,2014-02-01,2014,New Brunswick,Metal ores,3098000.0,1502000.0,1596000.0
United States,2014-02-01,2014,New Brunswick,Motor vehicles and parts,950000.0,21199000.0,-20249000.0
United States,2014-02-01,2014,New Brunswick,Special transactions trade,4072000.0,2678000.0,1394000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Aircraft and transportation,184000.0,0.0,184000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Basic products,10000.0,5000.0,5000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Consumer goods,3905000.0,299000.0,3606000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Electronics related parts,93000.0,55000.0,38000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Energy products,612251000.0,23505000.0,588746000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Farm and fishing products,1679000.0,0.0,1679000.0
